Quartos,Banheiros,Suites,Vagas,Elevador,Mobiliado,Piscina,Regiao,Ano,Valor
2,2,1,1,Nao,Nao,Sim,Centro,2015,2500
1,2,1,2,Sim,Sim,Sim,Centro,2019,5000
1,2,1,1,Sim,Sim,Nao,Centro,2007,1600
2,2,1,1,Nao,Nao,Nao,Centro,2008,1500
3,3,1,1,Sim,Nao,Nao,Centro,2009,2200
1,2,1,1,Sim,Nao,Nao,Centro,2004,1350
3,3,1,1,Sim,Nao,Nao,Centro,2014,2800
2,2,1,1,Nao,Nao,Nao,Centro,2014,2300
1,2,1,1,Sim,Nao,Nao,Centro,1998,1100
2,2,1,1,Nao,Nao,Nao,Centro,2005,1550
1,2,1,1,Nao,Nao,Nao,Centro,2004,1180
2,2,1,2,Nao,Nao,Sim,Centro,2012,2800
3,2,1,2,Sim,Nao,Sim,Centro,2014,3300
3,2,1,2,Nao,Nao,Nao,Centro,2016,3400
1,2,1,1,Sim,Nao,Nao,Centro,2001,1200
3,2,1,1,Nao,Nao,Nao,Centro,2010,2500
2,2,1,1,Sim,Nao,Nao,Centro,2013,2300
1,2,1,1,Sim,Nao,Nao,Centro,2004,1400
2,2,1,2,Sim,Nao,Sim,Centro,2015,4000
2,2,1,1,Sim,Nao,Nao,Centro,2007,1700
1,2,1,1,Nao,Nao,Nao,Centro,2003,1200
2,2,1,1,Nao,Nao,Sim,Centro,2010,1900
1,2,1,1,Sim,Nao,Nao,Centro,1998,1000
2,2,1,1,Nao,Nao,Nao,Centro,2001,1200
1,2,1,1,Sim,Nao,Nao,Centro,2000,1000
2,2,1,1,Sim,Nao,Nao,Centro,2000,1400
2,3,1,2,Sim,Sim,Sim,Centro,2015,3200
4,7,4,4,Nao,Nao,Sim,Centro,2016,4500
3,2,1,1,Nao,Nao,Nao,Centro,2010,1850
3,2,1,2,Nao,Nao,Nao,Centro,2018,4000
2,2,1,1,Nao,Nao,Nao,Centro,2004,1400
1,2,1,1,Sim,Nao,Nao,Centro,2000,1400
2,2,1,1,Sim,Nao,Nao,Centro,2003,1600
1,2,1,1,Sim,Nao,Nao,Centro,2004,1500
3,3,1,1,Sim,Nao,Nao,Centro,2010,2300
3,3,1,2,Sim,Nao,Sim,Centro,2014,2500
2,2,1,1,Sim,Nao,Sim,Centro,2007,1900
3,2,1,1,Sim,Nao,Nao,Centro,2011,2500
3,2,1,2,Sim,Sim,Sim,Centro,2013,2900
2,2,1,1,Sim,Nao,Nao,Centro,2006,1400
2,2,1,1,Nao,Nao,Nao,Centro,2008,1600
1,2,1,1,Sim,Sim,Nao,Centro,2008,1600
1,2,1,1,Sim,Sim,Nao,Centro,2009,1650
3,2,1,2,Sim,Nao,Sim,Centro,2019,3850
2,2,1,2,Sim,Sim,Sim,Centro,2015,3800
3,2,1,1,Nao,Nao,Nao,Centro,2005,1500
2,2,1,1,Sim,Nao,Nao,Centro,2013,2200
1,2,1,1,Sim,Sim,Sim,Centro,2011,2500
2,2,1,1,Sim,Nao,Nao,Centro,2000,1400
2,2,1,1,Nao,Nao,Nao,Centro,2000,1200
1,2,1,1,Sim,Nao,Nao,Centro,2004,1400
2,2,1,1,Nao,Nao,Nao,Centro,2004,1500
2,2,1,1,Sim,Sim,Sim,Centro,2019,3500
2,2,1,1,Sim,Nao,Nao,Centro,2009,1850
1,2,1,1,Nao,Nao,Nao,Centro,2002,1500
1,2,1,1,Sim,Nao,Nao,Centro,2005,1250
1,2,1,1,Nao,Nao,Nao,Centro,1999,1200
3,7,3,3,Nao,Nao,Sim,Centro,2017,4000
3,2,1,2,Nao,Nao,Sim,Centro,2008,2500
2,2,1,1,Nao,Nao,Nao,Centro,2004,1400
3,2,1,1,Sim,Nao,Nao,Centro,2015,2900
1,2,1,1,Sim,Sim,Nao,Centro,2004,1600
2,2,1,2,Sim,Nao,Nao,Centro,2016,4400
2,2,1,1,Nao,Nao,Nao,Centro,2002,1500
1,2,1,1,Nao,Nao,Nao,Centro,2002,1400
1,2,1,1,Nao,Sim,Nao,Centro,2008,1650
2,2,1,2,Nao,Sim,Nao,Centro,2010,2600
2,2,1,1,Sim,Nao,Nao,Centro,2007,1660
2,2,1,2,Nao,Nao,Nao,Centro,2017,4000
1,2,1,1,Nao,Nao,Nao,Centro,2009,1600
1,2,1,1,Nao,Sim,Sim,Centro,2016,3700
1,1,0,0,Nao,Nao,Nao,Centro,2009,1600
1,1,0,1,Nao,Nao,Nao,Centro,2009,2000
1,1,0,1,Nao,Nao,Nao,Centro,2011,2100
1,2,1,1,Nao,Nao,Sim,Centro,2012,2000
1,1,0,1,Nao,Sim,Nao,Centro,2009,2200
1,1,0,0,Nao,Nao,Nao,Centro,2001,980
3,2,1,2,Nao,Nao,Nao,Centro,2013,3750
1,2,1,1,Nao,Sim,Sim,Centro,2013,2800
1,2,1,1,Nao,Sim,Sim,Centro,2012,3000
1,2,1,1,Nao,Sim,Sim,Centro,2014,3100
3,2,1,1,Nao,Sim,Sim,Centro,2015,4000
3,2,1,1,Nao,Nao,Nao,Centro,2018,3500
1,2,1,1,Nao,Sim,Sim,Centro,2017,3200
1,1,0,1,Nao,Nao,Nao,Centro,2007,1500
1,2,0,0,Sim,Nao,Nao,Centro,2006,1800
2,2,0,1,Sim,Nao,Nao,Centro,2009,2000
2,2,1,1,Nao,Sim,Sim,Centro,2021,5000
4,2,0,1,Nao,Nao,Nao,Centro,2020,5000
