referencia,ano,mes,regiao,estado,gasolina_comum_preco_revenda_avg,etanol_hidratado_preco_revenda_avg
2001-07,2001,7,Norte,Acre,1.8254,1.332
2001-07,2001,7,Nordeste,Alagoas,1.666,1.0225
2001-07,2001,7,Norte,Amapa,1.8367,1.331
2001-07,2001,7,Norte,Amazonas,1.8239,1.2201
2001-07,2001,7,Nordeste,Bahia,1.7145,1.1533
2001-07,2001,7,Nordeste,Ceara,1.7144,1.1626
2001-07,2001,7,Centro Oeste,Distrito Federal,1.6475,1.1753
2001-07,2001,7,Sudeste,Espirito Santo,1.6905,1.1785
2001-07,2001,7,Centro Oeste,Goias,1.6311,0.9767
2001-07,2001,7,Nordeste,Maranhao,1.7153,1.198
2001-07,2001,7,Centro Oeste,Mato Grosso,1.743,1.0329
2001-07,2001,7,Centro Oeste,Mato Grosso Do Sul,1.7476,1.1288
2001-07,2001,7,Sudeste,Minas Gerais,1.6472,1.0298
2001-07,2001,7,Norte,Para,1.8597,1.3055
2001-07,2001,7,Nordeste,Paraiba,1.7294,1.1289
2001-07,2001,7,Sul,Parana,1.6613,0.8967
2001-07,2001,7,Nordeste,Pernambuco,1.7322,1.0567
2001-07,2001,7,Nordeste,Piaui,1.8015,1.2613
2001-07,2001,7,Sudeste,Rio De Janeiro,1.6757,1.0078
2001-07,2001,7,Nordeste,Rio Grande Do Norte,1.6971,1.1421
2001-07,2001,7,Sul,Rio Grande Do Sul,1.7022,1.1517
2001-07,2001,7,Norte,Rondonia,1.8324,1.2225
2001-07,2001,7,Norte,Roraima,1.7781,1.2921
2001-07,2001,7,Sul,Santa Catarina,1.7025,1.0944
2001-07,2001,7,Sudeste,Sao Paulo,1.6409,0.8757
2001-07,2001,7,Nordeste,Sergipe,1.6309,1.1178
2001-07,2001,7,Norte,Tocantins,1.852,1.1779
2001-08,2001,8,Norte,Acre,1.9187,1.3448
2001-08,2001,8,Nordeste,Alagoas,1.6946,1.0528
2001-08,2001,8,Norte,Amapa,1.8669,1.3596
2001-08,2001,8,Norte,Amazonas,1.871,1.2033
2001-08,2001,8,Nordeste,Bahia,1.7542,1.1933
2001-08,2001,8,Nordeste,Ceara,1.7447,1.1843
2001-08,2001,8,Centro Oeste,Distrito Federal,1.6733,1.1728
2001-08,2001,8,Sudeste,Espirito Santo,1.6913,1.152
2001-08,2001,8,Centro Oeste,Goias,1.6814,1.0174
2001-08,2001,8,Nordeste,Maranhao,1.7556,1.213
2001-08,2001,8,Centro Oeste,Mato Grosso,1.794,1.045
2001-08,2001,8,Centro Oeste,Mato Grosso Do Sul,1.7836,1.1485
2001-08,2001,8,Sudeste,Minas Gerais,1.697,1.0487
2001-08,2001,8,Norte,Para,1.8933,1.3267
2001-08,2001,8,Nordeste,Paraiba,1.7379,1.1229
2001-08,2001,8,Sul,Parana,1.6746,0.8827
2001-08,2001,8,Nordeste,Pernambuco,1.7393,1.0652
2001-08,2001,8,Nordeste,Piaui,1.8231,1.2682
2001-08,2001,8,Sudeste,Rio De Janeiro,1.7176,1.0325
2001-08,2001,8,Nordeste,Rio Grande Do Norte,1.7324,1.148
2001-08,2001,8,Sul,Rio Grande Do Sul,1.7521,1.1927
2001-08,2001,8,Norte,Rondonia,1.8858,1.2373
2001-08,2001,8,Norte,Roraima,1.8044,1.2949
2001-08,2001,8,Sul,Santa Catarina,1.7344,1.0879
2001-08,2001,8,Sudeste,Sao Paulo,1.6697,0.8679
2001-08,2001,8,Nordeste,Sergipe,1.6596,1.1272
2001-08,2001,8,Norte,Tocantins,1.875,1.1966
2001-09,2001,9,Norte,Acre,1.9275,1.359
2001-09,2001,9,Nordeste,Alagoas,1.6686,1.0525
2001-09,2001,9,Norte,Amapa,1.868,1.3704
2001-09,2001,9,Norte,Amazonas,1.8667,1.2082
2001-09,2001,9,Nordeste,Bahia,1.7463,1.193
2001-09,2001,9,Nordeste,Ceara,1.7152,1.1788
2001-09,2001,9,Centro Oeste,Distrito Federal,1.6888,1.1713
2001-09,2001,9,Sudeste,Espirito Santo,1.7039,1.1342
2001-09,2001,9,Centro Oeste,Goias,1.679,1.0217
2001-09,2001,9,Nordeste,Maranhao,1.8216,1.2495
2001-09,2001,9,Centro Oeste,Mato Grosso,1.8308,1.0772
2001-09,2001,9,Centro Oeste,Mato Grosso Do Sul,1.7827,1.142
2001-09,2001,9,Sudeste,Minas Gerais,1.7061,1.0559
2001-09,2001,9,Norte,Para,1.9307,1.3508
