ID_compra,unidade,cidade,data,horario,categoria_produto,valor_unitario,quantidade,valor_total,metodo_pagamento,ID_cliente,programa_cashback,idade,avaliacao_compra,mes
6,Parque das nações,Santo André,2022-01-03,15:40,Eletrônicos,4457.9,4,17831.6,Dinheiro,6149,Sim,30,10,1
5,Oswaldo Cruz,São Caetano do Sul,2022-01-03,16:48,Ferramentas e construção,115.9,1,115.9,PIX,9491,Sim,36,9,1
9,Paulicéia,São Bernardo do Campo,2022-01-03,12:08,Beleza e cuidados pessoais,68.9,2,137.8,Cartão,5288,Não,39,9,1
4,Oswaldo Cruz,São Caetano do Sul,2022-01-03,9:29,Ferramentas e construção,80.9,5,404.5,PIX,9679,Sim,35,10,1
8,Parque das nações,Santo André,2022-01-03,13:02,Beleza e cuidados pessoais,165.0,4,660.0,PIX,1380,Não,50,9,1
2,Oswaldo Cruz,São Caetano do Sul,2022-01-03,13:42,Eletrônicos,5747.9,5,28739.5,PIX,2771,Não,45,10,1
3,Oswaldo Cruz,São Caetano do Sul,2022-01-03,18:47,Alimentos e bebidas,84.9,5,424.5,Cartão,1960,Não,35,10,1
1,Oswaldo Cruz,São Caetano do Sul,2022-01-03,19:13,Eletrônicos,3465.9,1,3465.9,PIX,5146,Não,43,9,1
7,Parque das nações,Santo André,2022-01-03,12:40,Livros,75.9,5,379.5,Cartão,3106,Não,35,10,1
11,Paulicéia,São Bernardo do Campo,2022-01-04,16:50,Casa e limpeza,13.9,5,69.5,PIX,8765,Sim,32,10,1
19,Oswaldo Cruz,São Caetano do Sul,2022-01-04,15:19,Eletrônicos,4196.9,4,16787.6,PIX,9528,Sim,32,9,1
13,Parque das nações,Santo André,2022-01-04,18:25,Beleza e cuidados pessoais,84.9,3,254.70000000000002,Cartão,9030,Não,46,10,1
12,Paulicéia,São Bernardo do Campo,2022-01-04,13:44,Casa e limpeza,40.9,3,122.69999999999999,Carteira digital,5203,Sim,26,10,1
14,Parque das nações,Santo André,2022-01-04,13:22,Casa e limpeza,93.9,3,281.70000000000005,PIX,2781,Sim,35,9,1
17,Paulicéia,São Bernardo do Campo,2022-01-04,13:29,Beleza e cuidados pessoais,188.9,3,566.7,Cartão,9813,Sim,18,9,1
16,Oswaldo Cruz,São Caetano do Sul,2022-01-04,19:04,Livros,43.9,2,87.8,Cartão,1012,Não,40,10,1
18,Parque das nações,Santo André,2022-01-04,19:09,Alimentos e bebidas,61.0,5,305.0,Cartão,6492,Não,18,9,1
