Estado_civil,Imigrante,Sexo_biologico,Idade_matricula,Estrangeiro,Necessidades_educacionais_especiais,Devedor,Taxas_matricula_em_dia,Bolsista,Taxa_desemprego,Taxa_inflacao,PIB,Curso,Periodo,Qualificacao_previa,disciplinas_primeiro_semestre_notas,disciplinas_segundo_semestre_notas,Situacao
Solteiro,Sim,Masculino,20,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Animação e Design Multimídia,Diurno,Educação secundária,0.0,0.0,Desistente
Solteiro,Sim,Masculino,19,Não,Não,Não,Não,Não,13.9,-0.3,0.79,Turismo,Diurno,Educação secundária,14.0,13.666666666666666,Graduado
Solteiro,Sim,Masculino,19,Não,Não,Não,Não,Não,10.8,1.4,1.74,Design de Comunicação,Diurno,Educação secundária,0.0,0.0,Desistente
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Jornalismo e Comunicação,Diurno,Educação secundária,13.428571428571429,12.4,Graduado
Casado,Não,Feminino,45,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Serviço Social (noturno),Noturno,Educação secundária,12.333333333333334,13.0,Graduado
Casado,Não,Masculino,50,Não,Não,Sim,Sim,Não,16.2,0.3,-0.92,Gestão (noturno),Noturno,Educação básica 3º ciclo (9º/10º/11º ano) ou equivalente,11.857142857142858,11.5,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Sim,15.5,2.8,-4.06,Enfermagem,Diurno,Educação secundária,13.3,14.345,Graduado
Solteiro,Sim,Masculino,22,Não,Não,Não,Não,Não,15.5,2.8,-4.06,Turismo,Diurno,Educação secundária,0.0,0.0,Desistente
Solteiro,Não,Feminino,21,Sim,Não,Não,Sim,Sim,16.2,0.3,-0.92,Serviço Social,Diurno,Educação secundária,13.875,14.142857142857142,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Sim,Não,Não,8.9,1.4,3.51,Serviço Social,Diurno,Educação secundária,11.4,13.5,Desistente
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,13.9,-0.3,0.79,Gestão de Publicidade e Marketing,Diurno,Educação secundária,12.333333333333334,14.2,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Sim,12.7,3.7,-1.7,Enfermagem,Diurno,Educação secundária,13.214285714285714,13.214285714285714,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Não,12.7,3.7,-1.7,Educação Básica,Diurno,Educação secundária,0.0,0.0,Desistente
Solteiro,Sim,Feminino,21,Não,Não,Não,Sim,Sim,8.9,1.4,3.51,Turismo,Diurno,Curso técnico superior profissional,10.571428571428571,11.0,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Sim,10.8,1.4,1.74,Enfermagem Veterinária,Diurno,Educação secundária,13.25,12.0,Graduado
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,15.5,2.8,-4.06,Jornalismo e Comunicação,Diurno,Educação secundária,13.2,0.0,Desistente
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Serviço Social,Diurno,Educação secundária,12.0,11.0,Matriculado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,15.5,2.8,-4.06,Enfermagem,Diurno,Educação secundária,13.30625,14.545,Graduado
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,10.8,1.4,1.74,Zootecnia,Diurno,Educação secundária,12.5,12.25,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Educação Básica,Diurno,Educação secundária,11.666666666666666,13.5,Matriculado
Solteiro,Não,Feminino,21,Não,Não,Não,Sim,Sim,11.1,0.6,2.02,Animação e Design Multimídia,Diurno,Educação secundária,0.0,0.0,Graduado
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,12.7,3.7,-1.7,Odontologia,Diurno,Educação secundária,11.4375,11.425,Matriculado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,12.7,3.7,-1.7,Enfermagem,Diurno,Educação secundária,12.857142857142858,12.857142857142858,Graduado
Solteiro,Sim,Feminino,19,Não,Não,Não,Sim,Sim,11.1,0.6,2.02,Gestão de Publicidade e Marketing,Diurno,Educação secundária,13.375,12.285714285714286,Graduado
Solteiro,Não,Feminino,19,Não,Não,Não,Sim,Não,11.1,0.6,2.02,Enfermagem,Diurno,Educação secundária,13.296666666666669,14.114285714285714,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Sim,Sim,Sim,7.6,2.6,0.32,Serviço Social,Diurno,Educação secundária,11.6,11.0,Matriculado
Solteiro,Sim,Feminino,21,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Serviço Social,Diurno,Educação secundária,11.375,13.285714285714286,Graduado
Solteiro,Sim,Feminino,18,Não,Não,Não,Sim,Não,9.4,-0.8,-3.12,Enfermagem Veterinária,Diurno,Educação secundária,12.666666666666666,13.0,Matriculado
Solteiro,Sim,Feminino,20,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Gestão,Diurno,Educação secundária,12.0,12.333333333333334,Graduado
Solteiro,Sim,Masculino,19,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Enfermagem,Diurno,Educação secundária,12.933333333333332,13.716666666666669,Matriculado
Solteiro,Não,Masculino,21,Não,Não,Não,Sim,Não,16.2,0.3,-0.92,Agronomia,Diurno,Curso de especialização tecnológica,11.857142857142858,10.571428571428571,Matriculado
Solteiro,Sim,Masculino,20,Não,Não,Não,Sim,Não,8.9,1.4,3.51,Design de Comunicação,Diurno,Educação secundária,12.833333333333334,13.4,Graduado
Solteiro,Não,Masculino,18,Não,Não,Não,Não,Não,8.9,1.4,3.51,Gestão,Diurno,Educação secundária,11.333333333333334,13.5,Matriculado
